outer_fold,inner_fold,feature,importance,positive_importance_share,selected_feature_set_json,fallback_top_feature_used
full_development,1,Q1_Academic_Performance,0.0016933240477913724,0.005973078257166709,"[""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False
full_development,1,Q2_Attendance,0.05163554665361901,0.18214066080023478,"[""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False
full_development,1,Q3_Assignments,0.0,0.0,"[""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False
full_development,1,Q4_Repeating,0.03327815070093708,0.1173862726686879,"[""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False
full_development,1,Q6_PHQ2_Interest,0.06377909741462899,0.22497615889051267,"[""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False
full_development,1,Q7_PHQ2_Depressed,0.06547088185307844,0.2309438062869432,"[""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False
full_development,1,Q8_GAD2_Nervous,0.011068443770951012,0.0390431358458362,"[""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False
full_development,1,Q9_GAD2_Worry,0.020800601960727628,0.0733726208339474,"[""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False
full_development,1,Q10_Financial_Difficulty,0.005115013223360812,0.0180428396498748,"[""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False
full_development,1,Q11_Internet_Access,0.0065612116035128785,0.023144199966172813,"[""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False
